Cluster ID, Term
8,generated
0,peoples
7,starmer
85,washingtonpost
8,wrote
32,kindly
8,tests
11,canada
23,prioritise
12,ema
28,http
3,joeborellinyc
3,lasting
4,cynical
12,narendra
15,epsom
85,breakdown
67,roles
133,ems
5,donaldjtrumpjr
85,unwarranted
85,gates
58,strand
0,intentionally
8,lines
85,drtedros
23,fails
4,eng
20,dakota
32,leaveeuofficial
58,rick
3,joshberrycomedy
3,visited
15,achieved
4,attacked
3,happens
4,wanting
12,called
15,told
3,shouldnt
12,abiding
4,3000
5,rolled
12,repmattgaetz
0,turns
12,tried
6,nah
8,outbreak
67,idiots
5,epi
3,jehiahdowdy
11,mapping
12,pathogenic
0,hcws
11,news24
0,thousands
8,wanna
20,widodo
6,stuartpstevens
12,africans
4,400
5,driven
15,ma3yvpzzq8
3,sputnikv
3,optimism
32,bbcworld
0,300k
20,asked
3,scottmorrisonmp
28,morality
8,doctoroxford
28,rights
15,manufactured
28,deployment
28,saladinahmed
85,aghamilton29
85,bihar
12,stores
85,2nd
32,rishi
20,lgus
28,everydaycaitlin
7,michelleobama
0,zeenewsenglish
3,stored
0,urgently
0,10000
23,13993
58,esp
67,andrewjhansen
16,cent
8,pmoindia
3,mexican
23,furlough
3,nee
0,lindsay
12,links
15,took
3,catching
12,settings
67,tony
8,eua
6,nasuwt
1,followers
32,jimmfelton
67,cnbc
11,eus
5,nygovcuomo
12,zy60pqpohw
3,medic
58,reaching
67,oxfordvaccine
85,eve
85,chose
28,harder
8,prioritising
85,declared
12,haven
0,icmrs
5,rates
8,charlesgaba
0,rabies
15,rolls
11,sinovacs
5,prioritize
0,chimeracoder
32,risks
3,exams
32,freezing
16,nhs
0,benshapiro
67,queens
6,forms
6,drrosena
8,johnson
8,decided
11,skills
3,companies
8,locally
28,zealand
28,councilofdc
4,angrystaffer
3,dumbest
5,couldve
8,forgiveness
15,ewarren
20,countries
11,pallavigunalan
32,monitoring
8,hubs
67,wanted
8,tory
12,immoral
11,feels
28,dinomelaye
3,keelyflaherty
8,students
5,nomics
6,journalists
28,bainjal
12,bobscartoons
5,b117
8,ingredients
15,insane
1,backbone
0,nhsengland
0,cyprus
12,centres
15,appt
5,daceralies
8,opwarpspeed
15,poison
0,mikepence
15,samfr
3,fortunate
4,recovered
15,nypost
133,supported
8,transition46
16,florida
15,documents
8,genuinely
8,remains
3,philip
67,arriving
133,piers
3,drdavidsamadi
5,1300000
8,newschambers
58,sharing
6,adityavajjha
15,airports
0,destroying
12,50000
85,leads
28,reopen
16,embarrassing
3,fatemperor
12,rallies
85,non
8,drops
11,adonis
32,supporting
0,wai
3,11248
11,fmwales
15,wisconsin
0,thoughts
12,breaks
12,wan
5,was
58,gbwz4lsqgb
8,borisjohnsons
32,itvnews
67,grew
15,npr
4,shortages
0,stellar
4,israel
0,african
15,timely
8,attempted
15,delivers
28,excludes
0,disciplined
28,taxes
28,eligibility
8,insurrection
15,issues
11,excluded
8,priorities
0,grandma
11,stuck
8,struggling
15,issued
85,dashboard
0,level5
58,lives
8,misinformation
28,depends
3,bakarisellers
0,survived
0,lowest
8,ships
67,hoosiers
0,metro
0,didnt
5,everyth
68,prioritized
5,skynewsbreak
15,explicitly
0,intensify
4,mjsdc
85,slaoui
15,irish
12,districts
15,cnni
8,microchip
58,commons
15,hospitalized
6,receiving
3,couldnt
0,baroness
23,julia
67,wee
23,wed
12,wef
15,older
3,categories
3,iandunt
11,relieved
12,indonesian
11,fda
0,indonesias
67,sided
8,heres
68,350000
3,astrazeneca
15,happened
85,staggering
12,nasal
3,heads
85,indebted
20,levels
67,covid19vaccine
58,feb
6,pharmaceutical
12,booking
67,dick
58,fed
15,satishacharya
0,halloween
0,looks
8,earned
67,letting
8,3am
0,licence
15,opened
28,produced
32,undocumented
23,wha
