ClusterId,Term
44,meltingswans
0,owned
4,questione
7,decades
4,injection
16,tweeting
40,contracting
7,reaches
5,arguing
0,answers
5,dropped
5,variants
13,effi
4,tracking
4,norwegian
0,america
13,750
34,covid19vaccination
1,guidelines
40,fa9v6wgbbz
40,trudgj6jzl
17,liamyoung
4,assertions
7,mamata
7,gujarat
44,politics4ar
23,peterstefanovi2
4,procuring
0,queerty
40,livelihoods
7,reached
13,asks
4,cancelled
83,singh
7,acting
5,britain
7,granger
40,anaphylaxi
75,michaelharriot
0,headed
4,products
7,austin
0,blair
0,healty
0,nigeria
7,resigns
18,menk
44,angierasmussen
13,marks
5,duttyjermz
23,epidemiologist
31,cyril
0,nenagh
7,zerkaahd
0,dange
7,cheaper
13,rtcom
4,contrinue
5,british
44,depopulation
40,distancing
4,confused
28,reviews
40,drmistercody
7,cities
0,sooner
40,vtbgobfwxk
31,steps
7,friends
28,chamath
4,danrather
7,disses
0,kaiser
1,scientists
75,bjcruickshank
13,true
40,principles
13,nepal
18,sore
1,m8ob0brl1f
1,accolades
13,astra
5,problems
0,borders
1,certificate
7,phones
7,cervical
0,appears
4,meherramesh
75,provisioning
18,heard
7,recieve
5,falling
83,irans
16,ontarios
40,drjacobsrad
5,shocked
5,pulling
7,writes
7,sambal
13,hows
5,ignorant
0,based
4,sankranti
18,mets
1,lljwrnxbys
4,undertakes
44,drzwelimkhize
40,drneilstone
1,buckingham
1,frontline
1,disastrous
44,breakingnews
40,royalfamily
7,programs
1,infectious
5,saturday
4,marktopps
44,grandparents
7,ironic
1,dx9up9ry98
0,ahmad
0,govts
88,spectatorindex
83,excess
139,ronaldklain
40,pikzi80bxj
1,quicktake
5,banerjees
16,thorough
40,dgurdasani1
83,pelosi
1,cmoengland
40,doctorangry
75,pattyarquette
0,trips
7,showed
17,reactions
